title,url,servings,ingredients,calories,carbohydrates,proteins,fats,tags
Patatas con bacalao,https://recetas.lidl.es/recetas/patatas-con-bacalao,4,"[""400 g lomo de bacalao"", ""800 g patatas"", ""1 ud cebolla"", ""2 dientes ajos"", ""1 ud pimiento verde"", ""30 ml aceite de oliva suave"", ""1 cucharada sal"", ""1 hoja pimienta negra"", ""1 cucharadita tomate frito"", ""100 ml laurel"", ""1000 ml piment\u00f3n""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Pescado y Marisco""]"
Potaje de vigilia,https://recetas.lidl.es/recetas/potaje-de-vigilia,4,"[""300 g filetes de bacalao"", ""500 g garbanzos cocidos"", ""100 g espinacas"", ""2 uds tomate en rama (producto canario)"", ""1 ud cebolla"", ""1 diente ajo"", ""1 rebanada pan"", ""20 uds almendras"", ""600 ml caldo de verduras"", ""2 uds huevo cocido"", ""2 cucharadas aceite de oliva""]",400 kCal,26 g,31 g,18 g,"[""Primeros"", ""Arroz, Legumbres y Cereales"", ""Regiones de Espa\u00f1a"", ""Canarias""]"
Hojaldre de calabacín,https://recetas.lidl.es/recetas/hojaldre-de-calabacin,4,"[""1 ud calabac\u00edn zucchini (producto canario)"", ""1 ud berenjena (producto canario)"", ""1 ud masa de hojaldre rectangular"", ""1 ud aguacate (producto canario)"", ""200 g queso fresco batido"", ""1 ud lim\u00f3n"", ""1 manojo albahaca (producto canario)"", ""100 g queso emmental"", ""20 g cacahuete frito con miel"", ""4 lonchas mortadela italiana""]",524 kCal,32 g,20 g,33 g,"[""Segundos"", ""Fruta y Verdura""]"
Pechuga de pollo a la naranja,https://recetas.lidl.es/recetas/pechuga-de-pollo-a-la-naranja,4,"[""8 uds pechugas de pollo"", ""2 uds naranjas"", ""2 cucharadas miel"", ""1 cucharada salsa de soja"", ""1 ud ajo"", ""1 cucharada aceite de oliva"", ""1 pizca sal"", ""1 pizca pimienta negra"", ""1 cucharada maicena"", ""50 ml agua""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl""]"
Pastel de carne y patata,https://recetas.lidl.es/recetas/pastel-de-carne-y-patata,4,"[""200 g carne picada"", ""0.5 ud cebolla"", ""0.5 ud zanahoria"", ""0.5 ud pimiento rojo"", ""0.5 diente ajo"", ""0.49 pizca sal"", ""1 cucharada aceite de oliva virgen extra"", ""0.5 pizca pimienta negra"", ""0.5 pizca or\u00e9gano"", ""150 g tomate triturado"", ""4 uds patatas medianas"", ""40 g mantequilla sin sal"", ""50 ml leche entera"", ""100 g queso rallado""]",N/A,N/A,N/A,N/A,"[""Primeros"", ""Segundos"", ""Carne y Aves"", ""La Cocina de Lidl""]"
Pasta boloñesa,https://recetas.lidl.es/recetas/pasta-bolonesa,4,"[""200 g picada de vacuno"", ""0.5 ud cebolla"", ""0.5 ud zanahoria"", ""0.5 ud pimiento rojo"", ""1 diente ajo"", ""1 cucharada aceite de oliva virgen extra"", ""0.5 pizca sal"", ""0.49 pizca pimienta negra"", ""0.5 pizca or\u00e9gano"", ""150 tomate triturado"", ""300 g pasta penne rigate"", ""1 cucharadita az\u00facar"", ""100 g queso grana padano"", ""1 cucharadita albahaca""]",N/A,N/A,N/A,N/A,"[""Segundos"", ""Primeros"", ""Pasta y Pizza"", ""La Cocina de Lidl""]"
Croquetas de jamón,https://recetas.lidl.es/recetas/croquetas-de-jamon,4,"[""100 g taquitos de jam\u00f3n"", ""80 g mantequilla sin sal"", ""2 cucharadas aceite de oliva virgen extra"", ""180 g harina de trigo"", ""800 ml leche entera"", ""1 pizca nuez moscada"", ""1 pizca pimienta"", ""1 pizca sal""]",1090.9 kCal,73 g,25 g,78 g,"[""Aperitivos"", ""Pan y Masas"", ""Monsieur Cuisine""]"
Tarta de mango,https://recetas.lidl.es/recetas/tarta-de-mango,4,"[""1 ud masa quebrada"", ""500 ml leche entera"", ""3 uds huevos"", ""150 g az\u00facar blanco Belbake"", ""40 g harina de ma\u00edz"", ""2 uds mangos"", ""50 ml agua""]",634.9 kCal,102 g,10 g,21 g,"[""Postres"", ""Fruta y Verdura"", ""Postres y Dulces"", ""Vegetariana""]"
Ensaladilla de pulpo,https://recetas.lidl.es/recetas/ensaladilla-de-pulpo,4,"[""200 g pulpo cocido"", ""2 uds patatas"", ""3 uds zanahorias"", ""2 uds Huevos L"", ""3 cucharadas mayonesa"", ""1 cucharadita mostaza""]",490.8 kCal,66 g,24 g,15 g,"[""Primeros"", ""Segundos"", ""Fruta y Verdura"", ""L\u00e1cteos y Huevos"", ""Pescado y Marisco""]"
Tortilla de verdura en freidora de aire,https://recetas.lidl.es/recetas/tortilla-de-verdura-en-freidora-de-aire,4,"[""4 uds Huevos L"", ""100 g esp\u00e1rragos verdes"", ""100 g berenjenas"", ""50 g pimientos rojos""]",108.8 kCal,4 g,7 g,7 g,"[""Segundos"", ""Fruta y Verdura"", ""L\u00e1cteos y Huevos"", ""Vegetariana"", ""Freidora de aire""]"
